feature,coefficient,abs_coefficient
last_14d_avg_launch_angle,0.011684879425294777,0.011684879425294777
last_7d_PA,0.010189524091290508,0.010189524091290508
season_avg_exit_velocity,0.008581364103240535,0.008581364103240535
season_PA,0.005324749990046394,0.005324749990046394
season_xwOBA,0.004007570096472153,0.004007570096472153
last_14d_xwOBA,0.0033232647501931457,0.0033232647501931457
last_14d_avg_exit_velocity,0.0028659429414264015,0.0028659429414264015
last_7d_xwOBA,0.0027695290005276085,0.0027695290005276085
wOBA_diff_7d_vs_season,0.0015680249997856112,0.0015680249997856112
last_7d_avg_exit_velocity,0.0006304857901663779,0.0006304857901663779
xwOBA_diff_7d_vs_season,-0.0002902281778923352,0.0002902281778923352
last_7d_wOBA,-0.00040851456233417994,0.00040851456233417994
xwOBA_diff_14d_vs_season,-0.0007655119802914262,0.0007655119802914262
wOBA_diff_14d_vs_season,-0.001134602758375881,0.001134602758375881
season_wOBA,-0.0020261669223867315,0.0020261669223867315
last_14d_wOBA,-0.002312222995369,0.002312222995369
last_7d_avg_launch_angle,-0.003789344151585524,0.003789344151585524
last_14d_PA,-0.007142484832070356,0.007142484832070356
season_avg_launch_angle,-0.00857849150633154,0.00857849150633154
