model,k,top_k_actual_mean_xwOBA,top_k_actual_median_xwOBA,overall_mean_xwOBA,overall_median_xwOBA,lift_vs_overall_mean
pred_season_xwOBA,10,0.35220119697066654,0.36672921625,0.31388240199248396,0.3094597098765432,0.03831879497818258
pred_season_xwOBA,20,0.33869810660638716,0.3584515814285715,0.31388240199248396,0.3094597098765432,0.0248157046139032
pred_season_xwOBA,50,0.36193016709059117,0.3614816566326531,0.31388240199248396,0.3094597098765432,0.04804776509810721
pred_season_xwOBA,100,0.35208722447965435,0.3459521540860214,0.31388240199248396,0.3094597098765432,0.03820482248717039
pred_last_7d_xwOBA,10,0.3256000676623538,0.3098343365705199,0.31388240199248396,0.3094597098765432,0.011717665669869815
pred_last_7d_xwOBA,20,0.34906122210544355,0.35286548214285707,0.31388240199248396,0.3094597098765432,0.035178820112959586
pred_last_7d_xwOBA,50,0.3382923194148744,0.3343567142857142,0.31388240199248396,0.3094597098765432,0.02440991742239046
pred_last_7d_xwOBA,100,0.33345744912905184,0.327840826219911,0.31388240199248396,0.3094597098765432,0.01957504713656788
pred_last_14d_xwOBA,10,0.3718455763229979,0.3881608797999341,0.31388240199248396,0.3094597098765432,0.057963174330513956
pred_last_14d_xwOBA,20,0.38016198258306055,0.3744428626221859,0.31388240199248396,0.3094597098765432,0.06627958059057659
pred_last_14d_xwOBA,50,0.34246369753221123,0.33719728957862793,0.31388240199248396,0.3094597098765432,0.02858129553972727
pred_last_14d_xwOBA,100,0.33352789198031174,0.32824606362921516,0.31388240199248396,0.3094597098765432,0.01964548998782778
pred_ridge,10,0.432311838143808,0.41149245880040597,0.31388240199248396,0.3094597098765432,0.11842943615132406
pred_ridge,20,0.3807466207968558,0.3717617087912088,0.31388240199248396,0.3094597098765432,0.06686421880437182
pred_ridge,50,0.3682484491816321,0.3714240521461418,0.31388240199248396,0.3094597098765432,0.054366047189148115
pred_ridge,100,0.3784263806476764,0.3739362740384615,0.31388240199248396,0.3094597098765432,0.06454397865519246
pred_random_forest,10,0.3886425167738707,0.35036076677018635,0.31388240199248396,0.3094597098765432,0.07476011478138672
pred_random_forest,20,0.38187570793077297,0.3614816566326531,0.31388240199248396,0.3094597098765432,0.067993305938289
pred_random_forest,50,0.36276492399271865,0.35352391295639846,0.31388240199248396,0.3094597098765432,0.048882522000234685
pred_random_forest,100,0.3557971458849875,0.36481435841836735,0.31388240199248396,0.3094597098765432,0.04191474389250355
pred_lightgbm,10,0.37087550401394703,0.3573860106237817,0.31388240199248396,0.3094597098765432,0.05699310202146307
pred_lightgbm,20,0.368047584434821,0.3421390512452107,0.31388240199248396,0.3094597098765432,0.054165182442337034
pred_lightgbm,50,0.3482301828482774,0.34591377350427344,0.31388240199248396,0.3094597098765432,0.03434778085579343
pred_lightgbm,100,0.3486988454999419,0.3459174716458301,0.31388240199248396,0.3094597098765432,0.03481644350745794
